year,SMT-1,SMT-2,SMT-3,SMT-4,max_irrigation,mulch_pct,yield,irrigation
2018,99.08585219770535,88.22802497878752,39.278897957835824,52.40049154517249,400,0,14.41143557316338,375.94914808921163
2018,97.84803554833282,70.38452681490578,34.51692020375368,68.7767146867579,450,0,14.457792342939042,432.35087608924687
1984,33.87230994953008,99.24497022053467,96.92047340220368,90.62875004332642,0,50,1.4606998558004205,0.0
1984,44.37695236733651,36.20171754300994,13.559617975843949,84.93937729990529,50,50,6.0954588159763725,50.0
1984,24.64398715528393,34.179463875712365,15.366033659182733,55.722544428146996,100,50,7.707864554375436,100.0
1984,14.475966872359567,33.16398735653188,24.439387699159752,68.91645870581411,150,50,8.832457508326137,150.0
1984,39.33356859758702,46.09196726515906,53.895712322296546,39.91327220572587,200,50,10.883546127114156,200.0
1984,39.12398027429448,47.963904836912256,100.4937696243304,19.6816498796872,250,50,11.878505828524224,250.0
1984,50.947650258226446,49.502753524572526,56.242052447941894,29.597235540183707,300,50,12.68589239811955,300.0
1984,64.1139642468028,56.44869781150591,46.0301827869933,49.78372729228775,350,50,13.173845179565337,350.0
1984,64.25226753685827,84.25726592979066,41.68861693385559,91.50733215180091,400,50,13.563052799327869,400.0
1984,88.01548599294546,97.69642590422815,48.76492346640538,75.11538083751809,450,50,13.643919263165335,450.0
2009,50.68914927849254,57.13441920872238,89.32551201729468,9.495844189586656,0,50,12.917293620321383,0.0
2009,104.00932145820984,67.26798925509937,38.410045766291745,59.166545891600975,50,50,13.544751154098522,50.0
2009,84.68477151229038,35.47629962798692,34.678688926246416,72.1590802756517,100,50,13.652306486279269,100.0
2009,90.99291477099047,23.115986853490345,17.02936704088327,88.92763504392757,150,50,13.65015116249159,150.0
2009,90.11853822584997,67.05301486670014,0.05806401217051116,42.709701573134275,200,50,13.65015116249159,162.5650473127638
2009,84.10054649185578,48.36196187703119,3.1414509385198297,99.95141291743445,250,50,13.65256478398674,250.0
2009,90.52225548236014,60.74333449962376,56.91921921157864,19.465579355592332,300,50,13.65015116249159,162.5650473127638
2009,84.98212931244528,59.73781195072537,54.13983633028524,41.64779742971136,350,50,13.65256478398674,152.64314513160585
2009,92.08753455025516,71.93359710096664,57.404082996750006,67.64315177620085,400,50,13.649864917264946,273.398922259444
2009,84.94855580704485,26.70107268948163,3.711493326646287,47.25157171580542,450,50,13.65256478398674,177.64314513160585
2017,57.33622945361188,10.90158479390395,28.59596276757327,28.001445936275772,0,50,5.6670625995144155,0.0
2017,37.60651642748001,21.326210693959148,70.67562226167342,25.1593209534969,50,50,8.551669327116866,50.0
2017,9.876035363069368,21.407310996910788,51.237381853714446,16.657366551845953,100,50,10.6464298483743,100.0
2017,5.6063701199611105,34.20823034181146,86.97757996307774,32.240234972210985,150,50,12.234299737008842,150.0
2017,13.619703418863438,39.99428550876478,83.9779830208702,76.02877905152214,200,50,13.385797223165289,200.0
2017,37.58218922282972,77.9461345982114,39.863344885007706,12.779160753420234,250,50,13.9776240401727,250.0
2017,89.93948423067457,70.63848035091587,36.787474568386344,38.48020140260097,300,50,14.096056092101076,300.0
2017,40.65717280061182,72.5587608299436,33.0632986180803,61.88848366528098,350,50,14.11176820719322,350.0
2017,80.03692833081348,82.46336798854142,42.239710052597246,85.1807292104658,400,50,14.082867256097547,400.0
2017,59.80324641454351,79.44300610980343,38.74302854523415,55.90129976789996,450,50,14.08399522917807,396.085
2018,17.98961592091547,89.37532368299621,18.847112886046315,20.335349051093544,0,50,11.279682274265845,0.0
2018,28.96821292794165,39.78992816573531,75.78520744944129,86.20865444599539,50,50,12.896292898767513,50.0
2018,64.1807831495337,64.09538279519309,31.071309344974583,6.629880812582667,100,50,13.820492551146396,100.0
